source_display,target_code,target_display
"URBASON SOLUBLE 8 MG 1 AMPOLLA",H02AB04,"methylprednisolone"
"URSOCHOL 150 MG 60 COMPRIMIDOS",A05AA02,"ursodeoxycholic acid"
"URSODESOXICOLIC ACID 20 MG/ML SUSP ORAL 60 ML",A05AA02,"ursodeoxycholic acid"
"VALIUM 10 MG 50 AMPOLLAS 2 ML",N05BA01,"diazepam"
"VANCOMICINA PFIZER EFG 1000 MG 100 VIALES POLVO",J01XA01,"vancomycin"
"VANCOMICINA PFIZER EFG 500 MG 100 VIALES POLVO",J01XA01,"vancomycin"
"VANCOMICINA SALA EFG 500 MG 10 VIALES POLVO",J01XA01,"vancomycin"
"VARIVAX 1350 UFP 1 VIAL + 1 JERINGA PRECARGADA",J07BK01,"varicella, live attenuated"
"VASELINA ESTERIL ORRAVAN 100% POMADA 18 G",D02AA,"Silicone products"
"VAXELIS 1 JERINGA PRECARGADA 0.5 ML",J07CA09,"diphtheria-haemophilus influenzae B-pertussis-poliomyelitis-tetanus-hepatitis B"
"VAXIGRIP TETRA JERINGA 0.5 ML",J07BB02,"influenza, inactivated, split virus or surface antigen"
"VEDROP 50 MG/ML SOLUCION ORAL 20 ML",A11HA08,"tocofersolan"
"VENTAVIS 10 MCG/ML 30 AMPOLLAS 1 ML SOLUCION INHALACION",B01AC11,"iloprost"
"VENTOLIN 100 MCG/PULSACION AEROSOL 200 DOSIS",R03AC02,"salbutamol"
"VENTOLIN RESPIRADOR 0.5% SOLUCION INH 10 ML PARA R",R03AC02,"salbutamol"
"VITAMINA A  5000 UI/1ML  FRASCO 30 ML (AMB OLI D'OLIVA)",A11CA,"Vitamin A, plain"
"VITAMINA D3 BERENGUER 2000 UI/ML SOLUCION OLEOSA 1",A11CC05,"colecalciferol"
"XUMADOL 1 G 40 SOBRES GRANULADO EFERVESCENTE",N02BE01,"Paracetamol"
